iter	Passed	Remaining
952	10529	519
953	10540	508
954	10548	497
955	10556	485
956	10576	475
957	10589	464
958	10594	452
959	10611	442
960	10627	431
961	10646	420
962	10657	409
963	10667	398
964	10682	387
965	10696	376
966	10702	365
967	10712	354
968	10719	342
969	10733	331
970	10752	321
971	10764	310
972	10771	298
973	10777	287
974	10794	276
975	10805	265
976	10818	254
977	10831	243
978	10838	232
979	10848	221
980	10860	210
981	10869	199
982	10875	188
983	10885	176
984	10888	165
985	10902	154
986	10907	143
987	10915	132
988	10925	121
989	10935	110
990	10958	99
991	10973	88
992	10982	77
993	10996	66
994	11004	55
995	11010	44
996	11021	33
997	11033	22
998	11048	11
999	11054	0
